Initializing camera
Capturing raw video stream
--------------------
separate_lines - returning none
--------------------
slope:  -1 , left lanes: ( 22 , 229 ) - ( 72 , 179 )
slope:  0 , right lanes: ( 18 , 235 ) - ( 217 , 235 )
slope:  0 , right lanes: ( 30 , 208 ) - ( 197 , 211 )
slope:  -1 , left lanes: ( 9 , 229 ) - ( 69 , 171 )
slope:  0 , right lanes: ( 37 , 203 ) - ( 214 , 228 )
slope:  -1 , left lanes: ( 19 , 233 ) - ( 74 , 178 )
slope:  0 , right lanes: ( 19 , 234 ) - ( 205 , 234 )
slope:  0 , right lanes: ( 17 , 236 ) - ( 215 , 236 )
slope:  -1 , left lanes: ( 33 , 217 ) - ( 205 , 208 )
slope:  0 , right lanes: ( 35 , 215 ) - ( 210 , 224 )
slope:  -1 , left lanes: ( 21 , 232 ) - ( 215 , 229 )
slope:  0 , right lanes: ( 20 , 233 ) - ( 204 , 233 )
slope:  -1 , left lanes: ( 10 , 227 ) - ( 209 , 223 )
slope:  0 , right lanes: ( 39 , 210 ) - ( 199 , 213 )
slope:  -1 , left lanes: ( 14 , 223 ) - ( 206 , 220 )
slope:  -1 , left lanes: ( 32 , 230 ) - ( 213 , 227 )
slope:  0 , right lanes: ( 38 , 211 ) - ( 204 , 217 )
slope:  0 , right lanes: ( 37 , 213 ) - ( 205 , 219 )
slope:  -1 , left lanes: ( 33 , 228 ) - ( 211 , 225 )
--------------------
slope:  0 , right lanes: ( 18 , 235 ) - ( 217 , 235 )
slope:  -1 , left lanes: ( 23 , 228 ) - ( 73 , 178 )
slope:  0 , right lanes: ( 28 , 210 ) - ( 215 , 210 )
slope:  -1 , left lanes: ( 9 , 228 ) - ( 67 , 172 )
slope:  0 , right lanes: ( 17 , 236 ) - ( 215 , 236 )
slope:  0 , right lanes: ( 31 , 219 ) - ( 211 , 225 )
slope:  0 , right lanes: ( 37 , 213 ) - ( 216 , 213 )
slope:  0 , right lanes: ( 19 , 234 ) - ( 205 , 234 )
slope:  0 , right lanes: ( 38 , 211 ) - ( 215 , 211 )
slope:  -1 , left lanes: ( 20 , 232 ) - ( 74 , 178 )
slope:  0 , right lanes: ( 33 , 217 ) - ( 209 , 223 )
slope:  0 , right lanes: ( 20 , 233 ) - ( 204 , 233 )
slope:  0 , right lanes: ( 16 , 222 ) - ( 215 , 229 )
slope:  0 , right lanes: ( 36 , 214 ) - ( 217 , 214 )
slope:  0 , right lanes: ( 37 , 212 ) - ( 216 , 212 )
slope:  0 , right lanes: ( 11 , 227 ) - ( 216 , 231 )
slope:  0 , right lanes: ( 35 , 215 ) - ( 217 , 222 )
slope:  0 , right lanes: ( 44 , 215 ) - ( 217 , 218 )
slope:  0 , right lanes: ( 21 , 232 ) - ( 216 , 232 )
slope:  0 , right lanes: ( 30 , 220 ) - ( 213 , 227 )
slope:  -1 , left lanes: ( 22 , 231 ) - ( 214 , 228 )
slope:  0 , right lanes: ( 43 , 217 ) - ( 197 , 222 )
--------------------
slope:  -1 , left lanes: ( 22 , 229 ) - ( 73 , 178 )
slope:  0 , right lanes: ( 18 , 235 ) - ( 217 , 235 )
slope:  -1 , left lanes: ( 24 , 214 ) - ( 216 , 211 )
slope:  -1 , left lanes: ( 23 , 229 ) - ( 217 , 218 )
slope:  0 , right lanes: ( 17 , 236 ) - ( 215 , 236 )
slope:  0 , right lanes: ( 39 , 210 ) - ( 215 , 210 )
slope:  0 , right lanes: ( 44 , 215 ) - ( 213 , 227 )
slope:  -1 , left lanes: ( 19 , 234 ) - ( 215 , 230 )
slope:  0 , right lanes: ( 40 , 220 ) - ( 209 , 223 )
slope:  0 , right lanes: ( 41 , 234 ) - ( 205 , 234 )
slope:  -1 , left lanes: ( 26 , 226 ) - ( 217 , 216 )
slope:  -1 , left lanes: ( 43 , 216 ) - ( 216 , 213 )
slope:  -1 , left lanes: ( 19 , 233 ) - ( 216 , 219 )
slope:  0 , right lanes: ( 22 , 192 ) - ( 77 , 228 )
slope:  -1 , left lanes: ( 42 , 218 ) - ( 217 , 215 )
slope:  0 , right lanes: ( 38 , 211 ) - ( 217 , 214 )
slope:  -1 , left lanes: ( 27 , 233 ) - ( 199 , 224 )
slope:  -1 , left lanes: ( 41 , 219 ) - ( 203 , 216 )
slope:  0 , right lanes: ( 45 , 228 ) - ( 198 , 233 )
slope:  0 , right lanes: ( 46 , 226 ) - ( 216 , 232 )
slope:  0 , right lanes: ( 38 , 222 ) - ( 214 , 228 )
--------------------
slope:  0 , right lanes: ( 18 , 235 ) - ( 217 , 235 )
slope:  -2 , left lanes: ( 8 , 245 ) - ( 74 , 176 )
slope:  0 , right lanes: ( 40 , 209 ) - ( 216 , 212 )
slope:  -1 , left lanes: ( 34 , 217 ) - ( 215 , 210 )
slope:  -1 , left lanes: ( 36 , 215 ) - ( 212 , 206 )
slope:  -1 , left lanes: ( 13 , 225 ) - ( 217 , 218 )
